episode_rewards,episode_std_rewards,episode_stderr_rewards,episode_avg_len,episode_std_avg_len,dim0,dim1,offset1,offset2,magnitude,grid_size
191.30650329589844,30.69285011291504,6.138570022583008,1000.0,0.0,-1.0,-1.0,-15.0,-15.0,1.5,31
210.30990600585938,42.58053970336914,8.516107940673828,1000.0,0.0,-1.0,-0.9333333333333333,-15.0,-14.0,1.5,31
227.12994384765625,29.162622451782227,5.8325244903564455,1000.0,0.0,-1.0,-0.8666666666666667,-15.0,-13.0,1.5,31
261.7635803222656,34.875553131103516,6.975110626220703,1000.0,0.0,-1.0,-0.8,-15.0,-12.0,1.5,31
290.254638671875,26.029306411743164,5.205861282348633,1000.0,0.0,-1.0,-0.7333333333333333,-15.0,-11.0,1.5,31
259.2381896972656,40.108245849609375,8.021649169921876,1000.0,0.0,-1.0,-0.6666666666666666,-15.0,-10.0,1.5,31
239.96031188964844,56.8399543762207,11.367990875244141,1000.0,0.0,-1.0,-0.6,-15.0,-9.0,1.5,31
257.9134521484375,78.7831802368164,15.756636047363282,1000.0,0.0,-1.0,-0.5333333333333333,-15.0,-8.0,1.5,31
276.6923522949219,78.30116271972656,15.660232543945312,1000.0,0.0,-1.0,-0.4666666666666667,-15.0,-7.0,1.5,31
272.9534912109375,123.50189971923828,24.700379943847658,1000.0,0.0,-1.0,-0.4,-15.0,-6.0,1.5,31
298.0789489746094,124.76471710205078,24.952943420410158,1000.0,0.0,-1.0,-0.3333333333333333,-15.0,-5.0,1.5,31
342.5264587402344,192.30172729492188,38.46034545898438,1000.0,0.0,-1.0,-0.26666666666666666,-15.0,-4.0,1.5,31
376.5612487792969,181.5067901611328,36.30135803222656,1000.0,0.0,-1.0,-0.2,-15.0,-3.0,1.5,31
313.6859130859375,161.30361938476562,32.26072387695312,1000.0,0.0,-1.0,-0.13333333333333333,-15.0,-2.0,1.5,31
269.317626953125,113.23921966552734,22.64784393310547,1000.0,0.0,-1.0,-0.06666666666666667,-15.0,-1.0,1.5,31
227.06231689453125,80.37322998046875,16.07464599609375,1000.0,0.0,-1.0,0.0,-15.0,0.0,1.5,31
197.8487548828125,33.61146545410156,6.722293090820313,1000.0,0.0,-1.0,0.06666666666666667,-15.0,1.0,1.5,31
226.84243774414062,74.5804214477539,14.916084289550781,1000.0,0.0,-1.0,0.13333333333333333,-15.0,2.0,1.5,31
241.80393981933594,62.22195816040039,12.444391632080078,1000.0,0.0,-1.0,0.2,-15.0,3.0,1.5,31
219.9152374267578,39.64659881591797,7.929319763183594,1000.0,0.0,-1.0,0.26666666666666666,-15.0,4.0,1.5,31
203.85604858398438,30.597740173339844,6.119548034667969,1000.0,0.0,-1.0,0.3333333333333333,-15.0,5.0,1.5,31
205.61489868164062,37.350074768066406,7.470014953613282,1000.0,0.0,-1.0,0.4,-15.0,6.0,1.5,31
209.37753295898438,33.34465026855469,6.6689300537109375,1000.0,0.0,-1.0,0.4666666666666667,-15.0,7.0,1.5,31
203.78482055664062,36.99507522583008,7.399015045166015,1000.0,0.0,-1.0,0.5333333333333333,-15.0,8.0,1.5,31
227.3619384765625,49.285362243652344,9.857072448730468,1000.0,0.0,-1.0,0.6,-15.0,9.0,1.5,31
206.15269470214844,31.383892059326172,6.2767784118652346,1000.0,0.0,-1.0,0.6666666666666666,-15.0,10.0,1.5,31
216.34054565429688,34.04792022705078,6.809584045410157,1000.0,0.0,-1.0,0.7333333333333333,-15.0,11.0,1.5,31
192.1943817138672,24.524003982543945,4.904800796508789,1000.0,0.0,-1.0,0.8,-15.0,12.0,1.5,31
202.07769775390625,22.022836685180664,4.4045673370361325,1000.0,0.0,-1.0,0.8666666666666667,-15.0,13.0,1.5,31
198.5478057861328,23.022653579711914,4.604530715942383,1000.0,0.0,-1.0,0.9333333333333333,-15.0,14.0,1.5,31
193.3865203857422,23.000612258911133,4.600122451782227,1000.0,0.0,-1.0,1.0,-15.0,15.0,1.5,31
194.6730499267578,32.450740814208984,6.4901481628417965,1000.0,0.0,-0.9333333333333333,-1.0,-14.0,-15.0,1.5,31
205.3952178955078,41.476322174072266,8.295264434814452,1000.0,0.0,-0.9333333333333333,-0.9333333333333333,-14.0,-14.0,1.5,31
236.20675659179688,60.039146423339844,12.007829284667968,1000.0,0.0,-0.9333333333333333,-0.8666666666666667,-14.0,-13.0,1.5,31
260.842529296875,42.614200592041016,8.522840118408203,1000.0,0.0,-0.9333333333333333,-0.8,-14.0,-12.0,1.5,31
268.5306701660156,27.636085510253906,5.527217102050781,1000.0,0.0,-0.9333333333333333,-0.7333333333333333,-14.0,-11.0,1.5,31
284.4341125488281,24.481733322143555,4.896346664428711,1000.0,0.0,-0.9333333333333333,-0.6666666666666666,-14.0,-10.0,1.5,31
253.62669372558594,52.74284362792969,10.548568725585938,1000.0,0.0,-0.9333333333333333,-0.6,-14.0,-9.0,1.5,31
281.37335205078125,61.135894775390625,12.227178955078125,1000.0,0.0,-0.9333333333333333,-0.5333333333333333,-14.0,-8.0,1.5,31
264.1475830078125,68.34779357910156,13.669558715820312,1000.0,0.0,-0.9333333333333333,-0.4666666666666667,-14.0,-7.0,1.5,31
252.95474243164062,88.48089599609375,17.69617919921875,1000.0,0.0,-0.9333333333333333,-0.4,-14.0,-6.0,1.5,31
310.8703308105469,162.02532958984375,32.40506591796875,1000.0,0.0,-0.9333333333333333,-0.3333333333333333,-14.0,-5.0,1.5,31
352.031005859375,202.22677612304688,40.44535522460937,1000.0,0.0,-0.9333333333333333,-0.26666666666666666,-14.0,-4.0,1.5,31
299.02655029296875,154.03543090820312,30.807086181640624,1000.0,0.0,-0.9333333333333333,-0.2,-14.0,-3.0,1.5,31
354.9136657714844,171.25234985351562,34.25046997070312,1000.0,0.0,-0.9333333333333333,-0.13333333333333333,-14.0,-2.0,1.5,31
300.2550048828125,141.03500366210938,28.207000732421875,1000.0,0.0,-0.9333333333333333,-0.06666666666666667,-14.0,-1.0,1.5,31
204.72560119628906,33.194217681884766,6.638843536376953,1000.0,0.0,-0.9333333333333333,0.0,-14.0,0.0,1.5,31
233.99977111816406,82.08145141601562,16.416290283203125,1000.0,0.0,-0.9333333333333333,0.06666666666666667,-14.0,1.0,1.5,31
276.5758056640625,111.48014831542969,22.29602966308594,1000.0,0.0,-0.9333333333333333,0.13333333333333333,-14.0,2.0,1.5,31
242.4468536376953,69.42955017089844,13.885910034179688,1000.0,0.0,-0.9333333333333333,0.2,-14.0,3.0,1.5,31
234.96444702148438,64.60279083251953,12.920558166503906,1000.0,0.0,-0.9333333333333333,0.26666666666666666,-14.0,4.0,1.5,31
214.8127899169922,55.00316619873047,11.000633239746094,1000.0,0.0,-0.9333333333333333,0.3333333333333333,-14.0,5.0,1.5,31
207.00228881835938,40.281673431396484,8.056334686279296,1000.0,0.0,-0.9333333333333333,0.4,-14.0,6.0,1.5,31
236.5624237060547,63.49596405029297,12.699192810058594,1000.0,0.0,-0.9333333333333333,0.4666666666666667,-14.0,7.0,1.5,31
246.89389038085938,63.15396499633789,12.630792999267578,1000.0,0.0,-0.9333333333333333,0.5333333333333333,-14.0,8.0,1.5,31
244.23843383789062,55.376976013183594,11.075395202636718,1000.0,0.0,-0.9333333333333333,0.6,-14.0,9.0,1.5,31
224.6060333251953,48.839046478271484,9.767809295654297,1000.0,0.0,-0.9333333333333333,0.6666666666666666,-14.0,10.0,1.5,31
193.2638702392578,21.625301361083984,4.325060272216797,1000.0,0.0,-0.9333333333333333,0.7333333333333333,-14.0,11.0,1.5,31
194.8038330078125,31.552465438842773,6.310493087768554,1000.0,0.0,-0.9333333333333333,0.8,-14.0,12.0,1.5,31
188.06820678710938,14.059454917907715,2.811890983581543,1000.0,0.0,-0.9333333333333333,0.8666666666666667,-14.0,13.0,1.5,31
192.85507202148438,20.03597640991211,4.007195281982422,1000.0,0.0,-0.9333333333333333,0.9333333333333333,-14.0,14.0,1.5,31
204.88023376464844,25.473752975463867,5.094750595092774,1000.0,0.0,-0.9333333333333333,1.0,-14.0,15.0,1.5,31
254.84349060058594,58.594078063964844,11.71881561279297,1000.0,0.0,-0.8666666666666667,-1.0,-13.0,-15.0,1.5,31
239.72006225585938,54.36113357543945,10.87222671508789,1000.0,0.0,-0.8666666666666667,-0.9333333333333333,-13.0,-14.0,1.5,31
211.32960510253906,45.46934509277344,9.093869018554688,1000.0,0.0,-0.8666666666666667,-0.8666666666666667,-13.0,-13.0,1.5,31
230.7046356201172,65.36341857910156,13.072683715820313,1000.0,0.0,-0.8666666666666667,-0.8,-13.0,-12.0,1.5,31
227.9226531982422,46.50712585449219,9.301425170898437,1000.0,0.0,-0.8666666666666667,-0.7333333333333333,-13.0,-11.0,1.5,31
245.7052001953125,65.69640350341797,13.139280700683594,1000.0,0.0,-0.8666666666666667,-0.6666666666666666,-13.0,-10.0,1.5,31
290.330810546875,70.95146942138672,14.190293884277343,1000.0,0.0,-0.8666666666666667,-0.6,-13.0,-9.0,1.5,31
284.2134704589844,66.55262756347656,13.310525512695312,1000.0,0.0,-0.8666666666666667,-0.5333333333333333,-13.0,-8.0,1.5,31
236.07455444335938,73.31780242919922,14.663560485839843,1000.0,0.0,-0.8666666666666667,-0.4666666666666667,-13.0,-7.0,1.5,31
258.134033203125,118.63357543945312,23.726715087890625,1000.0,0.0,-0.8666666666666667,-0.4,-13.0,-6.0,1.5,31
367.1380920410156,218.41384887695312,43.682769775390625,1000.0,0.0,-0.8666666666666667,-0.3333333333333333,-13.0,-5.0,1.5,31
360.75,204.23265075683594,40.84653015136719,1000.0,0.0,-0.8666666666666667,-0.26666666666666666,-13.0,-4.0,1.5,31
411.1875915527344,202.04379272460938,40.408758544921874,1000.0,0.0,-0.8666666666666667,-0.2,-13.0,-3.0,1.5,31
427.6498718261719,222.08042907714844,44.41608581542969,1000.0,0.0,-0.8666666666666667,-0.13333333333333333,-13.0,-2.0,1.5,31
411.7396545410156,194.08010864257812,38.81602172851562,1000.0,0.0,-0.8666666666666667,-0.06666666666666667,-13.0,-1.0,1.5,31
248.43080139160156,69.3740005493164,13.874800109863282,1000.0,0.0,-0.8666666666666667,0.0,-13.0,0.0,1.5,31
238.88504028320312,88.72551727294922,17.745103454589845,1000.0,0.0,-0.8666666666666667,0.06666666666666667,-13.0,1.0,1.5,31
