episode_rewards,episode_std_rewards,episode_stderr_rewards,episode_avg_len,episode_std_avg_len,dim0,dim1,offset1,offset2,magnitude,grid_size
268.0530700683594,106.1093521118164,21.22187042236328,1000.0,0.0,-1.0,-1.0,-15.0,-15.0,0.5,31
251.91001892089844,88.27313995361328,17.654627990722656,1000.0,0.0,-1.0,-0.9333333333333333,-15.0,-14.0,0.5,31
266.75537109375,75.87606811523438,15.175213623046876,1000.0,0.0,-1.0,-0.8666666666666667,-15.0,-13.0,0.5,31
265.8699645996094,74.77996063232422,14.955992126464844,1000.0,0.0,-1.0,-0.8,-15.0,-12.0,0.5,31
227.89500427246094,51.53337097167969,10.306674194335937,1000.0,0.0,-1.0,-0.7333333333333333,-15.0,-11.0,0.5,31
208.0861358642578,51.827545166015625,10.365509033203125,1000.0,0.0,-1.0,-0.6666666666666666,-15.0,-10.0,0.5,31
236.63832092285156,94.51880645751953,18.903761291503905,1000.0,0.0,-1.0,-0.6,-15.0,-9.0,0.5,31
215.0690460205078,65.82624816894531,13.165249633789063,1000.0,0.0,-1.0,-0.5333333333333333,-15.0,-8.0,0.5,31
213.6511688232422,42.72728729248047,8.545457458496093,1000.0,0.0,-1.0,-0.4666666666666667,-15.0,-7.0,0.5,31
213.6168975830078,57.62217712402344,11.524435424804688,1000.0,0.0,-1.0,-0.4,-15.0,-6.0,0.5,31
202.79151916503906,40.696834564208984,8.139366912841798,1000.0,0.0,-1.0,-0.3333333333333333,-15.0,-5.0,0.5,31
218.34814453125,43.538936614990234,8.707787322998048,1000.0,0.0,-1.0,-0.26666666666666666,-15.0,-4.0,0.5,31
206.41586303710938,38.43773651123047,7.687547302246093,1000.0,0.0,-1.0,-0.2,-15.0,-3.0,0.5,31
219.97921752929688,55.05681228637695,11.011362457275391,1000.0,0.0,-1.0,-0.13333333333333333,-15.0,-2.0,0.5,31
201.2316436767578,34.535518646240234,6.907103729248047,1000.0,0.0,-1.0,-0.06666666666666667,-15.0,-1.0,0.5,31
187.97427368164062,26.918489456176758,5.383697891235352,1000.0,0.0,-1.0,0.0,-15.0,0.0,0.5,31
193.5154266357422,26.82607650756836,5.365215301513672,1000.0,0.0,-1.0,0.06666666666666667,-15.0,1.0,0.5,31
213.27615356445312,45.33658981323242,9.067317962646484,1000.0,0.0,-1.0,0.13333333333333333,-15.0,2.0,0.5,31
219.03536987304688,38.442665100097656,7.688533020019531,1000.0,0.0,-1.0,0.2,-15.0,3.0,0.5,31
220.81976318359375,56.98429870605469,11.396859741210937,1000.0,0.0,-1.0,0.26666666666666666,-15.0,4.0,0.5,31
250.14971923828125,43.4327392578125,8.6865478515625,1000.0,0.0,-1.0,0.3333333333333333,-15.0,5.0,0.5,31
233.51449584960938,35.14716720581055,7.0294334411621096,1000.0,0.0,-1.0,0.4,-15.0,6.0,0.5,31
243.33872985839844,55.11652374267578,11.023304748535157,1000.0,0.0,-1.0,0.4666666666666667,-15.0,7.0,0.5,31
