episode_rewards,episode_std_rewards,episode_stderr_rewards,episode_avg_len,episode_std_avg_len,dim0,dim1,offset1,offset2,magnitude,grid_size
177.58628845214844,11.166584014892578,2.2333168029785155,1000.0,0.0,-1.0,-1.0,-15.0,-15.0,3.0,31
176.47622680664062,10.497550010681152,2.0995100021362303,1000.0,0.0,-1.0,-0.9333333333333333,-15.0,-14.0,3.0,31
176.72271728515625,10.57225513458252,2.114451026916504,1000.0,0.0,-1.0,-0.8666666666666667,-15.0,-13.0,3.0,31
179.09136962890625,13.4525785446167,2.69051570892334,1000.0,0.0,-1.0,-0.8,-15.0,-12.0,3.0,31
175.5727996826172,8.687195777893066,1.7374391555786133,1000.0,0.0,-1.0,-0.7333333333333333,-15.0,-11.0,3.0,31
178.6387939453125,13.441865921020508,2.6883731842041017,1000.0,0.0,-1.0,-0.6666666666666666,-15.0,-10.0,3.0,31
179.6527557373047,13.608255386352539,2.721651077270508,1000.0,0.0,-1.0,-0.6,-15.0,-9.0,3.0,31
184.0742950439453,17.866241455078125,3.573248291015625,1000.0,0.0,-1.0,-0.5333333333333333,-15.0,-8.0,3.0,31
188.0636749267578,24.14288330078125,4.82857666015625,1000.0,0.0,-1.0,-0.4666666666666667,-15.0,-7.0,3.0,31
229.31056213378906,60.998085021972656,12.199617004394531,1000.0,0.0,-1.0,-0.4,-15.0,-6.0,3.0,31
294.56591796875,83.98224639892578,16.796449279785158,1000.0,0.0,-1.0,-0.3333333333333333,-15.0,-5.0,3.0,31
368.8447265625,76.54679870605469,15.309359741210937,1000.0,0.0,-1.0,-0.26666666666666666,-15.0,-4.0,3.0,31
305.7477111816406,93.97958374023438,18.795916748046874,1000.0,0.0,-1.0,-0.2,-15.0,-3.0,3.0,31
325.447998046875,80.70277404785156,16.14055480957031,1000.0,0.0,-1.0,-0.13333333333333333,-15.0,-2.0,3.0,31
333.375732421875,60.68960952758789,12.137921905517578,1000.0,0.0,-1.0,-0.06666666666666667,-15.0,-1.0,3.0,31
318.3245849609375,77.70590209960938,15.541180419921876,1000.0,0.0,-1.0,0.0,-15.0,0.0,3.0,31
317.3304443359375,77.84429931640625,15.56885986328125,1000.0,0.0,-1.0,0.06666666666666667,-15.0,1.0,3.0,31
313.45880126953125,48.10910415649414,9.621820831298828,1000.0,0.0,-1.0,0.13333333333333333,-15.0,2.0,3.0,31
317.3609619140625,67.09004974365234,13.418009948730468,1000.0,0.0,-1.0,0.2,-15.0,3.0,3.0,31
288.4813232421875,93.16362762451172,18.632725524902344,1000.0,0.0,-1.0,0.26666666666666666,-15.0,4.0,3.0,31
240.80885314941406,66.70372772216797,13.340745544433593,1000.0,0.0,-1.0,0.3333333333333333,-15.0,5.0,3.0,31
269.5931701660156,60.137229919433594,12.027445983886718,1000.0,0.0,-1.0,0.4,-15.0,6.0,3.0,31
246.93923950195312,41.58162307739258,8.316324615478516,1000.0,0.0,-1.0,0.4666666666666667,-15.0,7.0,3.0,31
240.54515075683594,25.571786880493164,5.114357376098633,1000.0,0.0,-1.0,0.5333333333333333,-15.0,8.0,3.0,31
243.85643005371094,28.88156509399414,5.776313018798828,1000.0,0.0,-1.0,0.6,-15.0,9.0,3.0,31
228.16448974609375,33.623085021972656,6.724617004394531,1000.0,0.0,-1.0,0.6666666666666666,-15.0,10.0,3.0,31
223.7963409423828,43.32145690917969,8.664291381835938,1000.0,0.0,-1.0,0.7333333333333333,-15.0,11.0,3.0,31
206.50515747070312,37.1416130065918,7.428322601318359,1000.0,0.0,-1.0,0.8,-15.0,12.0,3.0,31
197.60870361328125,31.126935958862305,6.225387191772461,1000.0,0.0,-1.0,0.8666666666666667,-15.0,13.0,3.0,31
200.48959350585938,29.808746337890625,5.961749267578125,1000.0,0.0,-1.0,0.9333333333333333,-15.0,14.0,3.0,31
198.11146545410156,27.392541885375977,5.478508377075196,1000.0,0.0,-1.0,1.0,-15.0,15.0,3.0,31
179.6920166015625,12.502198219299316,2.5004396438598633,1000.0,0.0,-0.9333333333333333,-1.0,-14.0,-15.0,3.0,31
178.2096710205078,12.046528816223145,2.409305763244629,1000.0,0.0,-0.9333333333333333,-0.9333333333333333,-14.0,-14.0,3.0,31
179.17787170410156,13.706509590148926,2.741301918029785,1000.0,0.0,-0.9333333333333333,-0.8666666666666667,-14.0,-13.0,3.0,31
179.42056274414062,14.320493698120117,2.8640987396240236,1000.0,0.0,-0.9333333333333333,-0.8,-14.0,-12.0,3.0,31
